Month,Import
2010-01-01,384586
2010-02-01,324124
2010-03-01,318769
2010-04-01,298464
2010-05-01,297801
2010-06-01,282260
2010-07-01,328655
2010-08-01,304901
2010-09-01,281518
2010-10-01,294744
2010-11-01,273165
2010-12-01,351773
2011-01-01,371919
2011-02-01,311154
2011-03-01,315408
2011-04-01,277936
2011-05-01,271252
2011-06-01,266617
2011-07-01,293477
2011-08-01,280284
2011-09-01,251846
2011-10-01,282159
2011-11-01,248908
2011-12-01,297733
2012-01-01,281131
2012-02-01,269906
2012-03-01,265152
2012-04-01,243018
2012-05-01,259023
2012-06-01,259732
2012-07-01,281166
2012-08-01,281350
2012-09-01,257990
2012-10-01,253402
2012-11-01,233853
2012-12-01,252066
2013-01-01,278078
2013-02-01,236875
2013-03-01,248290
2013-04-01,220608
2013-05-01,234183
2013-06-01,236690
2013-07-01,236199
2013-08-01,236248
2013-09-01,243881
2013-10-01,220430
2013-11-01,218693
2013-12-01,273181
2014-01-01,295356
2014-02-01,245422
2014-03-01,234189
2014-04-01,200669
2014-05-01,206657
2014-06-01,201655
2014-07-01,201176
2014-08-01,206554
2014-09-01,201622
2014-10-01,220858
2014-11-01,227485
2014-12-01,253736
2015-01-01,279397
2015-02-01,254230
2015-03-01,257274
2015-04-01,205120
2015-05-01,204348
2015-06-01,206273
2015-07-01,216973
2015-08-01,213875
2015-09-01,208818
2015-10-01,226286
2015-11-01,218242
2015-12-01,227257
2016-01-01,273600
2016-02-01,251775
2016-03-01,240764
2016-04-01,241317
2016-05-01,248317
2016-06-01,241885
2016-07-01,265022
2016-08-01,261983
2016-09-01,238491
2016-10-01,231449
2016-11-01,231044
2016-12-01,280791
2017-01-01,291656
2017-02-01,254597
2017-03-01,280567
2017-04-01,238279
2017-05-01,244353
2017-06-01,239805
2017-07-01,250508
2017-08-01,247888
2017-09-01,229444
2017-10-01,241338
2017-11-01,240314
2017-12-01,274478
2018-01-01,299891
2018-02-01,237417
2018-03-01,270762
2018-04-01,242264
2018-05-01,227168
2018-06-01,228469
2018-07-01,247012
2018-08-01,237025
2018-09-01,214074
2018-10-01,215128
2018-11-01,212486
2018-12-01,257148
2019-01-01,290839
2019-02-01,233317
2019-03-01,252989
2019-04-01,206559
2019-05-01,207651
2019-06-01,201163
2019-07-01,230407
2019-08-01,220076
2019-09-01,208286
2019-10-01,210537
2019-11-01,223765
2019-12-01,256053
2020-01-01,262122
2020-02-01,238163
2020-03-01,217087
2020-04-01,193401
2020-05-01,189403
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
