Month,Price
2010-01-01,5.83
2010-02-01,5.32
2010-03-01,4.29
2010-04-01,4.03
2010-05-01,4.14
2010-06-01,4.8
2010-07-01,4.63
2010-08-01,4.32
2010-09-01,3.89
2010-10-01,3.43
2010-11-01,3.71
2010-12-01,4.25
2011-01-01,4.49
2011-02-01,4.09
2011-03-01,3.97
2011-04-01,4.24
2011-05-01,4.31
2011-06-01,4.54
2011-07-01,4.42
2011-08-01,4.06
2011-09-01,3.9
2011-10-01,3.57
2011-11-01,3.24
2011-12-01,3.17
2012-01-01,2.67
2012-02-01,2.51
2012-03-01,2.17
2012-04-01,1.95
2012-05-01,2.43
2012-06-01,2.46
2012-07-01,2.95
2012-08-01,2.84
2012-09-01,2.85
2012-10-01,3.32
2012-11-01,3.54
2012-12-01,3.34
2013-01-01,3.33
2013-02-01,3.33
2013-03-01,3.81
2013-04-01,4.17
2013-05-01,4.04
2013-06-01,3.83
2013-07-01,3.62
2013-08-01,3.43
2013-09-01,3.62
2013-10-01,3.68
2013-11-01,3.64
2013-12-01,4.24
2014-01-01,4.71
2014-02-01,6
2014-03-01,4.9
2014-04-01,4.66
2014-05-01,4.58
2014-06-01,4.59
2014-07-01,4.05
2014-08-01,3.91
2014-09-01,3.92
2014-10-01,3.78
2014-11-01,4.12
2014-12-01,3.48
2015-01-01,2.99
2015-02-01,2.87
2015-03-01,2.83
2015-04-01,2.61
2015-05-01,2.85
2015-06-01,2.78
2015-07-01,2.84
2015-08-01,2.77
2015-09-01,2.66
2015-10-01,2.34
2015-11-01,2.09
2015-12-01,1.93
2016-01-01,2.28
2016-02-01,1.99
2016-03-01,1.73
2016-04-01,1.92
2016-05-01,1.92
2016-06-01,2.59
2016-07-01,2.82
2016-08-01,2.82
2016-09-01,2.99
2016-10-01,2.98
2016-11-01,2.55
2016-12-01,3.59
2017-01-01,3.3
2017-02-01,2.85
2017-03-01,2.88
2017-04-01,3.1
2017-05-01,3.15
2017-06-01,2.98
2017-07-01,2.98
2017-08-01,2.9
2017-09-01,2.98
2017-10-01,2.88
2017-11-01,3.01
2017-12-01,2.82
2018-01-01,3.87
2018-02-01,2.67
2018-03-01,2.69
2018-04-01,2.8
2018-05-01,2.8
2018-06-01,2.97
2018-07-01,2.83
2018-08-01,2.96
2018-09-01,3
2018-10-01,3.28
2018-11-01,4.09
2018-12-01,4.04
2019-01-01,3.11
2019-02-01,2.69
2019-03-01,2.95
2019-04-01,2.65
2019-05-01,2.64
2019-06-01,2.4
2019-07-01,2.37
2019-08-01,2.22
2019-09-01,2.56
2019-10-01,2.33
2019-11-01,2.65
2019-12-01,2.22
2020-01-01,2.02
2020-02-01,1.91
2020-03-01,1.79
2020-04-01,1.74
2020-05-01,1.75
2020-06-01,1.63
2020-07-01,1.77
