Month,Exports
May-20,394876
Apr-20,420333
Mar-20,496989
Feb-20,453798
Jan-20,509843
Dec-19,481006
Nov-19,441362
Oct-19,425775
Sep-19,394499
Aug-19,384983
Jul-19,393400
Jun-19,360226
May-19,368568
Apr-19,338213
Mar-19,373539
Feb-19,329954
Jan-19,364787
Dec-18,363458
Nov-18,337716
Oct-18,306646
Sep-18,301746
Aug-18,311449
Jul-18,305997
Jun-18,261995
May-18,272116
Apr-18,278941
Mar-18,291468
Feb-18,275652
Jan-18,300234
Dec-17,300138
Nov-17,287727
Oct-17,279775
Sep-17,248916
Aug-17,247302
Jul-17,248801
Jun-17,253322
May-17,248867
Apr-17,242424
Mar-17,273345
Feb-17,253227
Jan-17,269960
Dec-16,250836
Nov-16,227919
Oct-16,176466
Sep-16,201986
Aug-16,214226
Jul-16,188682
Jun-16,183013
May-16,188274
Apr-16,177853
Mar-16,194915
Feb-16,162757
Jan-16,168521
Dec-15,161754
Nov-15,155739
Oct-15,158517
Sep-15,162573
Aug-15,144885
Jul-15,143820
Jun-15,138179
May-15,134274
Apr-15,130328
Mar-15,163967
Feb-15,144955
Jan-15,144522
Dec-14,136982
Nov-14,120861
Oct-14,115069
Sep-14,119891
Aug-14,115376
Jul-14,127301
Jun-14,119864
May-14,114105
Apr-14,121928
Mar-14,149508
Feb-14,138550
Jan-14,134807
Dec-13,117329
Nov-13,113682
Oct-13,122406
Sep-13,122421
Aug-13,130324
Jul-13,128612
Jun-13,133808
May-13,142071
Apr-13,125771
Mar-13,148544
Feb-13,133003
Jan-13,154442
Dec-12,158538
Nov-12,142299
Oct-12,139930
Sep-12,137374
Aug-12,139248
Jul-12,118367
Jun-12,125140
May-12,132979
Apr-12,123150
Mar-12,141164
Feb-12,130175
Jan-12,130464
Dec-11,134374
Nov-11,127599
Oct-11,109513
Sep-11,126744
Aug-11,111404
Jul-11,113280
Jun-11,119470
May-11,131797
Apr-11,126374
Mar-11,144360
Feb-11,125014
Jan-11,135721
Dec-10,135121
Nov-10,123537
Oct-10,95974
Sep-10,79475
Aug-10,84164
Jul-10,85851
Jun-10,90040
May-10,85725
Apr-10,75938
Mar-10,99574
Feb-10,87820
Jan-10,93570
